Pressione, Can A in funzione di Posizione, Can 1 e 2, Raccolta #3
Posizione, Can 1 e 2 ( m )	Pressione, Can A ( kPa )
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,742
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,742
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-9,375000E-4	0,742
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,742
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
-9,375000E-4	0,737
